id	file_name	title	composer	musicbrainz_id	musicbrainz_composer	musicbrainz_lyricist	musicbrainz_type	wikidata_id	wikidata_description	wikidata_allmusic	wiki_link
541	dataset/jazz1350/I'll Be Around.xml	I'll Be Around	Alec Wilder	d638b98d-e704-36b4-9f89-b58b2298bb8d	['Alec Wilder']	['Alec Wilder']	Song	Q5965619	original song written and composed by Alec Wilder	mc0002359999	https://en.wikipedia.org/wiki/I%27ll_Be_Around_(1942_song)
542	dataset/jazz1350/I'll Be Seeing You.xml	I'll Be Seeing You	Sammy Fain	a69e713c-5aac-331c-8669-934714f45fd1	['Sammy Fain']	['Irving Kahal']	Song	Q720569	1938 song with music by Sammy Fain and lyrics by Irving Kahal	mc0002455438	https://en.wikipedia.org/wiki/I%27ll_Be_Seeing_You_(song)
543	dataset/jazz1350/I'll Close My Eyes.xml	I'll Close My Eyes	Reid-Kaye	77655230-2838-3f2a-8e65-82b3bcd19557	['Billy Reid']	['Buddy Kaye']	Song	Q17012540	song		https://en.wikipedia.org/wiki/I%27ll_Close_My_Eyes_(song)
544	dataset/jazz1350/I'll Get By (As Long As I Have You).xml	I'll Get By (As Long As I Have You)	Ahlert-Turk		[]	[]					
545	dataset/jazz1350/I'll Never Be The Same.xml	I'll Never Be The Same	Khan-Malneck-Signorelli	11449c40-fbb2-3a56-b2a2-9dc2f1bea4db	['Frank Signorelli', 'Matty Malneck']	['Gus Kahn']	Song	Q18208961	original song composed by Matty Malneck and Frank Signorelli, words by Gus Kahn		https://en.wikipedia.org/wiki/I%27ll_Never_Be_the_Same
546	dataset/jazz1350/I'll Only Miss Her When I Think Of Her.xml	I'll Only Miss Her When I Think Of Her	Cahn-Van Heusen	98afcbad-3c57-4851-9445-83f70d365177	['Jimmy Van Heusen']	['Sammy Cahn']	Song				
547	dataset/jazz1350/I'll Remember April.xml	I'll Remember April	Raye-DePaul	20a8d308-3ad3-32ed-a142-a33d7efc4f34	['Gene de Paul']	['Don Raye', 'Patricia Johnston']	Song	Q1676201	"original song composed by Gene de Paul, lyrics by Don Raye and Patricia Johnston; from the 1942 film ""Ride 'Em Cowboy"""	mc0002395132	https://en.wikipedia.org/wiki/I%27ll_Remember_April_(song)
548	dataset/jazz1350/I'll See You In My Dreams.xml	I'll See You In My Dreams	Jones-Kahn	200cdfad-2422-3e1f-8880-eb358acf4b05	['Isham Jones']	['Gus Kahn']	Song	Q5965981	1924 song by Gus Kahn and Isham Jones	mc0002395332	https://en.wikipedia.org/wiki/I%27ll_See_You_in_My_Dreams_(1924_song)
549	dataset/jazz1350/I'll Take Romance.xml	I'll Take Romance	Ben Oakland	c6d08973-46c7-3ba7-8600-7e6e453e76d0	['Ben Oakland']	['Oscar Hammerstein II']	Song	Q94326546	"original song composed by Ben Oakland, lyrics by Oscar Hammerstein II; from the 1937 film ""I'll Take Romance"""		
550	dataset/jazz1350/I'm A Fool To Want You.xml	I'm A Fool To Want You	Herron-Sinatra-Wolf	713f05ec-9b49-3813-84c9-f96e551e2c8b	['Frank Sinatra', 'Jack Wolf', 'Joel Herron']	[]	Song	Q16996430	original song written and composed by Frank Sinatra, Jack Wolf, Joel Herron; first recorded by Frank Sinatra	mc0000630609	https://en.wikipedia.org/wiki/I%27m_a_Fool_to_Want_You
551	dataset/jazz1350/I'm All Smiles.xml	I'm All Smiles	Leonard-Martin	3f9a5838-3847-45a3-9da8-af93ac917eb9	['Michael Leonard']	['Herbert Martin']	Song				
552	dataset/jazz1350/I'm Always Chasing Rainbows.xml	I'm Always Chasing Rainbows	Harry Carroll	3c9cfcf9-bb5a-35b0-9c99-c65d8707fb7d	['Fryderyk Chopin', 'Harry Carroll']	['Joseph McCarthy']	Song	Q5966147	song composed by Harry Carroll performed by Barbra Streisand		https://en.wikipedia.org/wiki/I%27m_Always_Chasing_Rainbows
553	dataset/jazz1350/I'm Beginning To See The Light.xml	I'm Beginning To See The Light	Hodges-James-Ellington	6d8b17b3-44b5-3819-842f-1f9e4946e372	['Duke Ellington', 'Harry James', 'Johnny Hodges']	['Don George']	Song	Q1146122	original song written and composed by Duke Ellington, Don George, Johnny Hodges, and Harry James	mc0002458364	https://en.wikipedia.org/wiki/I%27m_Beginning_to_See_the_Light
554	dataset/jazz1350/I'm Confessin' That I Love You.xml	I'm Confessin' That I Love You	Reynolds-Daugherty	047be238-31e7-494b-b860-bbbc3b2622f4	['Doc Daugherty', 'Ellis Reynolds']	['Al J. Neiburg']	Song	Q5159973	"derivative song composed by Doc Daugherty and Ellis Reynolds, lyrics by Al J. Neiburg; based on ""Lookin’ for Another Sweetie"""	mc0002482534	https://en.wikipedia.org/wiki/Confessin%27
555	dataset/jazz1350/I'm Getting Sentimental Over You.xml	I'm Getting Sentimental Over You	George Bassman	9b3dd1a5-0dce-31bb-8df2-9eda172226f7	['George Bassman']	['Ned Washington']	Song	Q1676202	original song composed by George Bassman, lyrics by Ned Washington	mc0002434995	https://en.wikipedia.org/wiki/I%27m_Getting_Sentimental_Over_You
556	dataset/jazz1350/I'm Glad There Is You.xml	I'm Glad There Is You	Jimmy Dorsey	2cfe5f75-75db-36bc-95ec-d95a06e6bd57	['Jimmy Dorsey', 'Paul Madeira']	[]	Song	Q5966267	original song written and composed by Jimmy Dorsey, Paul Madeira		https://en.wikipedia.org/wiki/I%27m_Glad_There_Is_You
557	dataset/jazz1350/I'm Gonna Sit Right Down and Write Myself A Letter.xml	I'm Gonna Sit Right Down and Write Myself A Letter	Fred Ahlert	468ded01-6183-3227-90e1-19eeafab5af5	['Fred E. Ahlert', 'Joe Young']	['Joe Young']	Song	Q5966356	original song written and composed by Fred E. Ahlert, lyrics by Joe Young		https://en.wikipedia.org/wiki/I%27m_Gonna_Sit_Right_Down_and_Write_Myself_a_Letter
558	dataset/jazz1350/I'm In The Mood For Love.xml	I'm In The Mood For Love	Jimmy McHugh	6bd559d6-5880-320e-acb7-29d29ae5ede4	['Jimmy McHugh']	['Dorothy Fields']	Song	Q3646185	original song composed by Jimmy McHugh, words by Dorothy Fields	mc0002392868	https://en.wikipedia.org/wiki/I%27m_in_the_Mood_for_Love
559	dataset/jazz1350/I'm Just A Lucky So-And-So.xml	I'm Just A Lucky So-And-So	Duke Ellington	d5323630-edcf-3d93-83ec-0d23edbc7fab	['Duke Ellington']	['Mack David']	Song	Q13637145	song by Duke Ellington		https://en.wikipedia.org/wiki/I%27m_Just_a_Lucky_So-and-So
560	dataset/jazz1350/I'm Old Fashioned.xml	I'm Old Fashioned	Jerome Kern	5e426341-c20b-32d5-97e5-2e2a36f885ac	['Jerome Kern']	['Johnny Mercer']	Song	Q1676206	1942 song song composed by Jerome Kern, with lyrics written by Johnny Mercer; performed by Fred Astaire and others		https://en.wikipedia.org/wiki/I%27m_Old_Fashioned
561	dataset/jazz1350/I'm Putting All My Eggs In One Basket.xml	I'm Putting All My Eggs In One Basket	Irving Berlin	343d10b9-a00f-3a0b-8776-451f04f5a064	['Irving Berlin']	['Irving Berlin']	Song	Q5966698	song performed by Fred Astaire		https://en.wikipedia.org/wiki/I%27m_Putting_All_My_Eggs_in_One_Basket
562	dataset/jazz1350/I'm Sitting On Top Of The World.xml	I'm Sitting On Top Of The World	Louis-Henderson-Young	e72463b3-ec6a-35a3-8eb7-cf015092dad0	['Ray Henderson']	['Joe Young', 'Sam M. Lewis']	Song	Q5966734	song performed by Al Jolson		https://en.wikipedia.org/wiki/I%27m_Sitting_on_Top_of_the_World
563	dataset/jazz1350/I'm Through With Love.xml	I'm Through With Love	Kahn-Malneck-Livingston	bdd69a74-3079-3cd5-be40-68312f26a865	['Fud Livingston', 'Matty Malneck']	['Gus Kahn']	Song				
564	dataset/jazz1350/I've Found A New Baby.xml	I've Found A New Baby	Palmer-Williams	88b0de3e-9343-31f5-a3d2-a5f07c2189c8	['Jack Palmer', 'Spencer Williams']	[]	Song	Q11258983	song composed by Jack Palmer, Spencer Williams performed by Benny Goodman		https://en.wikipedia.org/wiki/I%27ve_Found_a_New_Baby
565	dataset/jazz1350/I've Got A Crush On You.xml	I've Got A Crush On You	George Gershwin	909c68e7-2991-374b-a6d2-fbadec2ce79f	['George Gershwin']	['Ira Gershwin']	Song	Q5967276	original show tune composed by George Gershwin with words by Ira Gershwin	mc0002373877	https://en.wikipedia.org/wiki/I%27ve_Got_a_Crush_on_You
566	dataset/jazz1350/I've Got My Love To Keep Me Warm.xml	I've Got My Love To Keep Me Warm	Irving Berlin	59390043-1561-35bc-b704-59d7caf7f598	['Irving Berlin']	['Irving Berlin']	Song	Q5967247	"original song written and composed by Irving Berlin; from the 1937 film ""On the Avenue"""	mc0002436357	https://en.wikipedia.org/wiki/I%27ve_Got_My_Love_to_Keep_Me_Warm
567	dataset/jazz1350/I've Got The World On A String.xml	I've Got The World On A String	Harold Arlen	a08efffd-410f-3979-89c6-86222d53884f	['Harold Arlen']	['Ted Koehler']	Song	Q5967316	original song composed by Harold Arlen, lyrics by Ted Koehler	mc0002450477	https://en.wikipedia.org/wiki/I%27ve_Got_the_World_on_a_String
568	dataset/jazz1350/I've Got You Under My Skin.xml	I've Got You Under My Skin	Cole Porter	1f69a658-acd8-32ca-9d6d-5c9cfcd50e62	['Cole Porter']	['Cole Porter']	Song	Q2165861	"original song written and composed by Cole Porter; from the 1936 movie ""Born to Dance"""	mc0002662437	https://en.wikipedia.org/wiki/I%27ve_Got_You_Under_My_Skin
569	dataset/jazz1350/I've Grown Accustomed To Her Face.xml	I've Grown Accustomed To Her Face	Frederick Loewe	504446e5-b88e-3b94-bda1-8253d47ffcc2	['Frederick Loewe']	['Alan Jay Lerner']	Song	Q11976620	song composed by Frederick Loewe with lyrics by Alan Jay Lerner performed by Barbra Streisand		https://en.wikipedia.org/wiki/I%27ve_Grown_Accustomed_to_Her_Face
570	dataset/jazz1350/I've Heard That Song Before.xml	I've Heard That Song Before	Jule Styne	7685c203-936e-4e18-9999-f25d001f5d25	['Jule Styne']	['Sammy Cahn']	Song	Q5967335	"original song composed by Jule Styne, lyrics by Sammy Cahn; from the 1942 film ""Youth on Parade"""		https://en.wikipedia.org/wiki/I%27ve_Heard_That_Song_Before
571	dataset/jazz1350/I've Never Been In Love Before.xml	I've Never Been In Love Before	Frank Loesser	f46c464c-92ce-3afa-aafe-7b7f335a3799	['Frank Loesser']	['Frank Loesser']	Song	Q5967342	"original show tune written and composed by Frank Loesser; from the 1950 musical ""Guys and Dolls"""	mc0002456379	https://en.wikipedia.org/wiki/I%27ve_Never_Been_in_Love_Before
572	dataset/jazz1350/I've Told Eve'ry Little Star.xml	I've Told Eve'ry Little Star	Jerome Kern	bacf1363-a165-3914-b60c-31663492eb7c	['Jerome Kern']	['Oscar Hammerstein II']	Song	Q5967381	1961 song composed by Jerome Kern with lyrics by Oscar Hammerstein II performed by Linda Scott		https://en.wikipedia.org/wiki/I%27ve_Told_Ev%27ry_Little_Star
573	dataset/jazz1350/Idle Moments.xml	Idle Moments	Grant Green		[]	[]					
574	dataset/jazz1350/If Ever I Would Leave You.xml	If Ever I Would Leave You	Frederick Loewe	0fdd0655-ac56-37a6-a090-bd33b2238a56	['Frederick Loewe']	['Alan Jay Lerner']	Song				
575	dataset/jazz1350/If I Could Be With You.xml	If I Could Be With You	James Johnson	2e8dfa35-bd31-3fc1-ab0b-da3ab1bff2a0	['James P. Johnson']	['Henry Creamer']	Song				
576	dataset/jazz1350/If I Didn't Care.xml	If I Didn't Care	Jack Lawrence	eb30c621-0785-337f-aff2-e560d537c22a	['Jack Lawrence']	['Jack Lawrence']	Song	Q1312227	original song written and composed by Jack Lawrence		https://en.wikipedia.org/wiki/If_I_Didn%27t_Care
577	dataset/jazz1350/If I Had You.xml	If I Had You	Campbell-Connelly-Shapiro	20772079-6477-3c27-91f3-7b6e6a1bea03	['James Campbell', 'Reginald Connelly', 'Ted Shapiro']	[]	Song	Q5990455	original song written and composed by Jimmy Campbell, Reg Connelly, Ted Shapiro		https://en.wikipedia.org/wiki/If_I_Had_You_(1928_song)
578	dataset/jazz1350/If I Loved You.xml	If I Loved You	Richard Rodgers	dc9aa360-0fa8-3a54-91ed-5ef1d89f21fc	['Richard Rodgers']	['Oscar Hammerstein II']	Song	Q5990486	"original show tune by Rodgers & Hammerstein; from the 1945 musical ""Carousel"""	mc0002496772	https://en.wikipedia.org/wiki/If_I_Loved_You
579	dataset/jazz1350/If I Ruled The World.xml	If I Ruled The World	Leslie Bricusse	0f1a1aa2-764c-37b5-9f60-74d64a03c280	['Cyril Ornadel']	['Leslie Bricusse']	Song	Q5990500	"original show tune composed by Cyril Ornadel, lyrics by Leslie Bricusse; from the 1963 musical ""Pickwick"""		https://en.wikipedia.org/wiki/If_I_Ruled_the_World
580	dataset/jazz1350/If I Should Lose You.xml	If I Should Lose You	Ralph Rainger	b5506172-a22e-36e3-ae7e-27385309acf6	['Ralph Rainger']	['Leo Robin']	Song	Q5990520	song performed by Frank Sinatra		https://en.wikipedia.org/wiki/If_I_Should_Lose_You
581	dataset/jazz1350/If I Were A Bell.xml	If I Were A Bell	Frank Loesser	a9cd2932-dc41-38f4-896d-ca0b5abae751	['Frank Loesser']	['Frank Loesser']	Song	Q1657001	song		https://en.wikipedia.org/wiki/If_I_Were_a_Bell
582	dataset/jazz1350/If There Is Someone Lovelier.xml	If There Is Someone Lovelier	Dietz-Schwartz	1e0409c4-33fa-3ad7-9287-adcf7a94a1ef	['Arthur Schwartz']	['Howard Dietz']					
583	dataset/jazz1350/If You Could See Me Now.xml	If You Could See Me Now	Tadd Dameron	f6014ae8-b0c4-31cb-987e-e4e0b24509b9	['Tadd Dameron']	['Carl Sigman']	Song				
584	dataset/jazz1350/If You Ever Should Leave.xml	If You Ever Should Leave	Cahn-Chaplin	29d769c1-d94b-4396-b84f-ae35faea4882	['Saul Chaplin']	['Sammy Cahn']	Song				
585	dataset/jazz1350/If You Never Come To Me.xml	If You Never Come To Me	Antonio Carlos Jobim	a1c32ee9-73a8-4508-a36c-e529693cab9c	['Antônio Carlos Jobim']	['Aloysio de Oliveira', 'Ray Gilbert']	Song	Q4215420	song composed by Antônio Carlos Jobim performed by Frank Sinatra		https://en.wikipedia.org/wiki/In%C3%BAtil_Paisagem
586	dataset/jazz1350/Ill Wind.xml	Ill Wind	Harold Arlen	d4a7269a-3d15-3cbe-8a7c-dc74ab0c31ad	['Harold Arlen']	['Ted Koehler']	Song	Q22043315	original song composed by Harold Arlen, lyrics by Ted Koehler	mc0002661481	https://en.wikipedia.org/wiki/Ill_Wind_(Arlen-Koehler_song)
587	dataset/jazz1350/Imagination.xml	Imagination	Jimmy Van Heusen	396ba035-20b9-3afd-9f9f-541c07d51009	['Jimmy Van Heusen']	['Johnny Burke']	Song	Q16386259	original song composed by Jimmy Van Heusen, lyrics by Johnny Burke	mc0002456873	https://en.wikipedia.org/wiki/Imagination_(1940_song)
588	dataset/jazz1350/Impressions.xml	Impressions	John Coltrane	0ae8eb6b-a04a-35ad-9c0a-f5a9cef7ed6a	['John Coltrane']	[]	Song	Q11864796	composition by John Coltrane		https://en.wikipedia.org/wiki/Impressions_(instrumental_composition)
589	dataset/jazz1350/In A Little Spanish Town.xml	In A Little Spanish Town	Wayne-Lewis-Young	6d803c49-8162-30e7-9e0b-b2f740958780	['Mabel Wayne']	['Joe Young', 'Sam M. Lewis']		Q6011377	song		https://en.wikipedia.org/wiki/In_a_Little_Spanish_Town
590	dataset/jazz1350/In A Mellow Tone (In A Mellotone).xml	In A Mellow Tone (In A Mellotone)	Duke Ellington	50c2c0d9-a1c3-3fa5-8738-65d3b35a1994	['Duke Ellington']	['Milt Gabler']	Song	Q1584542	song		https://en.wikipedia.org/wiki/In_a_Mellow_Tone
591	dataset/jazz1350/In A Shanty In Old Shanty Town.xml	In A Shanty In Old Shanty Town	Little-Siras	b4aef236-9f8c-4f8e-9aa2-92731712ef97	['Ira Schuster', 'Little Jack Little']	['Joe Young']	Song	Q6011466	original song composed by Jack Little and Ira Schuster, lyrics by Joe Young	mc0002618919	https://en.wikipedia.org/wiki/In_a_Shanty_in_Old_Shanty_Town
592	dataset/jazz1350/In Her Family.xml	In Her Family	Pat Metheny	c3a3dfa2-8919-4c22-9a37-e52f0fb6d894	['Pat Metheny']	[]					
593	dataset/jazz1350/In Love In Vain.xml	In Love In Vain	Leo Robin Jerome Kern	915d3a36-1cac-47fe-9de5-9480dc292050	['Jerome Kern']	['Leo Robin']	Song				
594	dataset/jazz1350/In Pursuit Of The 27th Man.xml	In Pursuit Of The 27th Man	Horace Silver		[]	[]					
595	dataset/jazz1350/In The Cool, Cool, Cool Of The Evening.xml	In The Cool, Cool, Cool Of The Evening	Hoagy Carmichael	89026adf-5977-413e-a187-09aaf0d0eac5	['Hoagy Carmichael']	['Johnny Mercer']	Song	Q3149715	"original song composed by Hoagy Carmichael, lyrics by Johnny Mercer; from the 1951 film ""Here Comes the Groom"""	mc0002453275	https://en.wikipedia.org/wiki/In_the_Cool,_Cool,_Cool_of_the_Evening
596	dataset/jazz1350/In The Middle Of A Kiss.xml	In The Middle Of A Kiss	Sam Coslow	40faba22-5443-4797-bb6d-d8532d960e10	['Sam Coslow']	[]	Song				
597	dataset/jazz1350/In The Still Of The Night.xml	In The Still Of The Night	Cole Porter	5fba3f49-3124-308e-a1e6-7142bd300f47	['Cole Porter']	['Cole Porter']	Song	Q6012958	"original song written and composed by Cole Porter; from the 1937 film ""Rosalie"""	mc0002448870	https://en.wikipedia.org/wiki/In_the_Still_of_the_Night_(Cole_Porter_song)
598	dataset/jazz1350/In The Wee Small Hours Of The Morning.xml	In The Wee Small Hours Of The Morning	Mann-Hilliard	d3872daf-060c-3b48-81ba-2f1f1d6e4f72	['David Mann']	['Bob Hilliard']	Song	Q1660800	original song composed by David Mann, lyrics by Bob Hillard; first recorded by Frank Sinatra	mc0002422117	https://en.wikipedia.org/wiki/In_the_Wee_Small_Hours_of_the_Morning
599	dataset/jazz1350/In Walked Bud.xml	In Walked Bud	Thelonious Monk	7e3478dc-b809-3b94-8e06-182364c981bb	['Thelonious Monk']	[]	Song	Q3149674	song composed by Thelonious Monk, with lyrics later added by Jon Hendricks; performed by Carmen McRae and others		https://en.wikipedia.org/wiki/In_Walked_Bud
600	dataset/jazz1350/In Your Own Sweet Way.xml	In Your Own Sweet Way	Dave Brubeck	7d0e572e-2238-3a44-8191-dd12dcb5ff89	['Dave Brubeck', 'Gary Peacock', 'Marc Copland']	[]	Song				
601	dataset/jazz1350/In a Sentimental Mood.xml	In a Sentimental Mood	Duke Ellington	276e1824-a584-3c58-a4ee-5e6c198757eb	['Duke Ellington']	['Irving Mills', 'Mann Curtis']	Song	Q1660683	original song composed by Duke Ellington, lyrics by Irving Mills and Mann Curtis	mc0002373477	https://en.wikipedia.org/wiki/In_a_Sentimental_Mood
602	dataset/jazz1350/Incentive.xml	Incentive	Horace Silver		[]	[]					
603	dataset/jazz1350/Indian Summer.xml	Indian Summer	Victor-Aldubin-Herbert	d618891d-b930-3f28-8d87-30c78c10897a	['Victor Herbert']	['Al Dubin']	Song	Q6021703	original song composed by Victor Herbert, lyrics by Al Dubin		https://en.wikipedia.org/wiki/Indian_Summer_(Victor_Herbert_song)
604	dataset/jazz1350/Indiana (Back Home Again In).xml	Indiana (Back Home Again In)	James Hanley	291f1eeb-030e-35f4-bd70-9206eb9dc752	['James F. Hanley']	['Ballard MacDonald']	Song	Q798311	song composed by James F. Hanley, lyrics by Ballard MacDonald	mc0002420047	https://en.wikipedia.org/wiki/Back_Home_Again_in_Indiana
605	dataset/jazz1350/Infant Eyes.xml	Infant Eyes	Wayne Shorter	15bfedec-7cb8-419d-a02f-7e90cccadfbe	['Wayne Shorter']	[]	Song				
606	dataset/jazz1350/Inner Urge.xml	Inner Urge	Joe Henderson	80c3b9e2-1db7-3aea-b99b-0ffd3097a545	['Joe Henderson']	[]	Song				
607	dataset/jazz1350/Interchange.xml	Interchange	Pat Martino		[]	[]					
608	dataset/jazz1350/Interplay.xml	Interplay	Bill Evans	954c7f76-86e6-4c08-9207-62459ba05913	['Bill Evans']	[]	Song				
609	dataset/jazz1350/Invitation.xml	Invitation	Bronislau Kaper	2c0204b1-5eb0-3880-a3c6-c66457806795	['Bronisław Kaper']	['Paul Francis Webster']	Song	Q21072671	1952 song by Bronisław Kaper		https://en.wikipedia.org/wiki/Invitation_(song)
610	dataset/jazz1350/Iris.xml	Iris	Wayne Shorter	e37b6eb7-5ee0-481c-aa10-a0fe713962da	['Wayne Shorter']	[]	Song				
611	dataset/jazz1350/Irresistable You.xml	Irresistable You	Gene DePaul		[]	[]					
612	dataset/jazz1350/Is That So.xml	Is That So	Duke Pearson	c7749771-3b5a-440f-82f8-8d8f50ce85e1	['Duke Pearson']	[]	Song				
613	dataset/jazz1350/Is You Is Or Is You Ain't (Ma' Baby).xml	Is You Is Or Is You Ain't (Ma' Baby)	Austin-Jordan	5e2b3c4e-45e1-4bad-bfc2-3a531df27ce5	['Bill Austin', 'Louis Jordan']	[]	Song				
614	dataset/jazz1350/Isfahan.xml	Isfahan	Strayhorn-Ellington	f1c9f9ca-d2a3-44a7-b57d-b3111a8d057f	['Billy Strayhorn', 'Duke Ellington']	[]	Song				
615	dataset/jazz1350/Isn't It A Lovely Day (To Be Caught In The Rain).xml	Isn't It A Lovely Day (To Be Caught In The Rain)	Irving Berlin	43b17ca1-7766-4b08-80ee-da17512b746f	['Irving Berlin']	['Irving Berlin']	Song				
616	dataset/jazz1350/Isn't It A Pity.xml	Isn't It A Pity	George Gershwin	320cacc3-9817-40e8-a270-e31c390a2bb6	['George Harrison']	['George Harrison']	Song	Q4041643	original song written and composed by George Harrison		https://en.wikipedia.org/wiki/Isn%27t_It_a_Pity
617	dataset/jazz1350/Isn't It Romantic.xml	Isn't It Romantic	Richard Rodgers	7816e7a4-8ff8-3f8a-86e1-0af2a7c09ee4	['Richard Rodgers']	['Lorenz Hart']	Song	Q9383949	"original song written and composed by Rodgers and Hart; from the 1932 film ""Love Me Tonight"""	mc0002473879	https://en.wikipedia.org/wiki/Isn%27t_It_Romantic%3F
618	dataset/jazz1350/Isotope.xml	Isotope	Joe Henderson	d5a87131-7f9a-3deb-a8ca-77f7d0e983a2	['Joe Henderson']	[]	Song				
619	dataset/jazz1350/Israel.xml	Israel	John Carisi	89967e58-40f3-3580-a912-db56cfbc63ce	['John Carisi']	[]	Song	Q30601570	original instrumental composed by John Carisi		https://en.wikipedia.org/wiki/Israel_(composition)
620	dataset/jazz1350/It Ain't Necessarily So.xml	It Ain't Necessarily So	George Gershwin	8812f327-e92e-37b9-bdc4-2cc1ade322c8	['George Gershwin']	['Dorothy Heyward', 'DuBose Heyward', 'Ira Gershwin']	Song	Q2920365	song by George and Ira Gershwin from Porgy and Bess		https://en.wikipedia.org/wiki/It_Ain%27t_Necessarily_So
621	dataset/jazz1350/It Could Happen To You.xml	It Could Happen To You	Jimmy Van Heusen	6d489d45-3e3b-3bd9-a178-caa47b30366c	['Jimmy Van Heusen']	['Johnny Burke']	Song	Q820861	"original song composed by Jimmy Van Heusen, lyrics by Johnny Burke; from the 1944 film ""And the Angels Sing"""	mc0002418104	https://en.wikipedia.org/wiki/It_Could_Happen_to_You_(song)
622	dataset/jazz1350/It Don't Mean A Thing.xml	It Don't Mean A Thing	Duke Ellington	1d20addb-3555-3615-8232-2ba14863e351	['Duke Ellington']	['Irving Mills']	Song	Q730605	song by Duke Ellington		https://en.wikipedia.org/wiki/It_Don%27t_Mean_a_Thing_(If_It_Ain%27t_Got_That_Swing)
623	dataset/jazz1350/It Had To Be You.xml	It Had To Be You	Isham Jones	6a386e41-ed76-3df2-a0c4-fba63aa34137	['Isham Jones']	['Gus Kahn']	Song	Q6091772	1924 song by Isham Jones and Gus Kahn	mc0002496376	https://en.wikipedia.org/wiki/It_Had_to_Be_You_(song)
624	dataset/jazz1350/It Might As Well Be Spring.xml	It Might As Well Be Spring	Richard Rodgers	3435dd9a-6ee0-31cb-8030-89987ffeb159	['Richard Rodgers']	['Oscar Hammerstein II']	Song	Q6091926	"original song written and composed by Rodgers and Hart; from the 1945 film ""State Fair"""	mc0002372234	https://en.wikipedia.org/wiki/It_Might_as_Well_Be_Spring
625	dataset/jazz1350/It Never Entered My Mind.xml	It Never Entered My Mind	Richard Rodgers	5cec5322-d9df-340f-aa1c-5428dc61095f	['Richard Rodgers']	['Lorenz Hart']	Song	Q6091953	"original show tune by Rodgers and Hart; from the 1940 musical ""Higher and Higher"""		https://en.wikipedia.org/wiki/It_Never_Entered_My_Mind
626	dataset/jazz1350/It Only Happens When I Dance With You.xml	It Only Happens When I Dance With You	Irving Berlin	072c93ba-7900-3af0-847d-3ec3171bff64	['Irving Berlin']	['Irving Berlin']	Song				
627	dataset/jazz1350/It Was So Good While It Lasted.xml	It Was So Good While It Lasted	Poll-Ackers	9506f126-70ee-494a-bfa4-757e59df0628	['Andy Ackers', 'Ruth Poll']	[]	Song				
628	dataset/jazz1350/It's A Big Wide Wonderful World.xml	It's A Big Wide Wonderful World	John Rox	e1a0b586-bfb1-4489-af53-0da0c100070a	['John Rox']	['John Rox']	Song				
629	dataset/jazz1350/It's A Blue World.xml	It's A Blue World	Wright-Forrest	66cfb5be-2798-451a-91df-80bc543df3cc	['George Forrest', 'Robert Wright']	[]	Song	Q15859073	"original song composed by George Forest with lyrics by Robert Wright; from the 1940 film ""Music in My Heart"""		
630	dataset/jazz1350/It's A Dance.xml	It's A Dance	Michel Petrucciani	f9fa0235-d7f9-4070-b35f-1dc845c280fa	['Michel Petrucciani']	[]					
631	dataset/jazz1350/It's A Good Day.xml	It's A Good Day	Peggy Lee	84506673-e62b-4db2-bfb3-369d8f13ad93	['Dave Barbour', 'Peggy Lee']	[]	Song	Q6091102	1947 song performed by Peggy Lee		https://en.wikipedia.org/wiki/It%27s_a_Good_Day
632	dataset/jazz1350/It's A Lovely Day Today.xml	It's A Lovely Day Today	Irving Berlin	dfbc807b-88e6-4d30-97fa-c96d65747167	['Irving Berlin']	['Irving Berlin']	Song	Q6091203	song		https://en.wikipedia.org/wiki/It%27s_a_Lovely_Day_Today
633	dataset/jazz1350/It's A Raggy Waltz.xml	It's A Raggy Waltz	Dave Brubeck	96bad4b2-f240-3eb0-9b0a-09fc99d17f5d	['Dave Brubeck']	['Dave Brubeck']	Song				
634	dataset/jazz1350/It's All Right With Me.xml	It's All Right With Me	Cole Porter	131b165f-b881-4f87-9366-6eddd1e74348	['Cole Porter']	['Cole Porter']	Song	Q241580	song		https://en.wikipedia.org/wiki/It%27s_All_Right_with_Me
635	dataset/jazz1350/It's Been A Long Long Time.xml	It's Been A Long Long Time	Jule Styne	302d04f7-7016-3422-8a8c-63d6b842d443	['Jule Styne']	['Sammy Cahn']	Song				
636	dataset/jazz1350/It's De-lovely.xml	It's De-lovely	Cole Porter	5de462bc-f3f6-4eeb-81b8-e9259104b697	['Cole Porter']	['Cole Porter']	Song	Q16997431	original show tune written and composed by Cole Porter; from the 1936 musical comedy Red Hot and Blue	mc0002449145	https://en.wikipedia.org/wiki/It%27s_De-Lovely
637	dataset/jazz1350/It's Easy To Remember.xml	It's Easy To Remember	Richard Rodgers	dd30ea65-fedd-37f0-aed9-c3c9094993bf	['Richard Rodgers']	['Lorenz Hart']					
638	dataset/jazz1350/It's Impossible.xml	It's Impossible	Armando Manzanero	01371a84-3887-3bb0-b456-b02876d27fbd	['Armando Manzanero']	[]	Song				
639	dataset/jazz1350/It's Just Talk.xml	It's Just Talk	Pat Metheny	c6280db9-7751-4af0-8b26-211fa685b04c	['Pat Metheny']	[]	Song				
